order,avg length,B_time,BPlus_time,BStar_time
1857,168877,6,5,6
1858,168877,6,6,7
1859,168877,6,5,6
1860,168877,6,5,6
1861,168877,6,5,6
1862,168877,6,5,6
1863,168877,6,5,6
1864,168877,6,5,6
1865,168877,6,5,6
1866,168877,6,5,6
1867,168877,6,5,6
1868,168877,6,5,6
1869,168877,6,5,6
1870,168877,6,5,6
1871,168877,6,5,6
1872,168877,6,5,6
1873,168877,6,5,6
1874,168877,6,5,6
1875,168877,6,5,6
1876,168877,6,5,6
1877,168877,6,5,6
1878,168877,6,5,6
1879,168877,6,5,6
1880,168877,6,5,6
1881,168877,6,5,6
1882,168877,6,5,6
1883,168877,6,5,6
1884,168877,6,5,6
1885,168877,6,5,6
1886,168877,6,5,6
1887,168877,6,5,6
1888,168877,6,5,6
1889,168877,6,5,6
1890,168877,6,5,6
1891,168877,6,5,6
1892,168877,6,5,6
1893,168877,6,5,6
1894,168877,6,5,6
1895,168877,6,5,6
1896,168877,6,5,6
1897,168877,6,5,6
1898,168877,6,5,6
1899,168877,6,5,6
1900,168877,6,5,6
1901,168877,6,5,6
1902,168877,6,5,5
1903,168877,6,5,6
1904,168877,6,5,6
1905,168877,6,5,6
1906,168877,6,5,6
1907,168877,6,5,6
1908,168877,6,5,6
1909,168877,6,5,6
1910,168877,6,5,6
1911,168877,6,5,6
1912,168877,6,5,6
1913,168877,6,5,6
1914,168877,6,5,6
1915,168877,6,5,6
1916,168877,6,5,6
1917,168877,6,5,6
1918,168877,6,5,6
1919,168877,6,5,6
1920,168877,6,5,6
1921,168877,6,5,6
1922,168877,6,5,6
1923,168877,6,5,6
1924,168877,6,5,6
1925,168877,6,5,6
1926,168877,6,5,6
1927,168877,6,5,6
1928,168877,6,5,6
1929,168877,6,5,6
1930,168877,6,5,6
1931,168877,6,5,6
1932,168877,6,5,6
1933,168877,6,5,6
1934,168877,6,5,6
1935,168877,6,5,6
1936,168877,6,5,6
1937,168877,6,5,6
1938,168877,6,5,6
1939,168877,6,5,6
1940,168877,6,5,6
1941,168877,6,5,5
1942,168877,6,5,6
1943,168877,6,5,6
1944,168877,6,5,6
1945,168877,6,5,6
1946,168877,6,5,6
1947,168877,6,5,6
1948,168877,6,5,6
1949,168877,6,5,6
1950,168877,6,5,6
1951,168877,6,5,6
1952,168877,6,5,6
1953,168877,6,5,6
1954,168877,6,5,6
1955,168877,6,5,6
1956,168877,6,5,6
1957,168877,6,5,6
1958,168877,6,5,6
1959,168877,6,5,6
1960,168877,6,5,6
1961,168877,6,5,6
1962,168877,6,5,6
1963,168877,6,5,6
1964,168877,6,5,6
1965,168877,6,5,6
1966,168877,6,5,6
1967,168877,6,5,6
1968,168877,6,5,6
1969,168877,6,5,6
1970,168877,6,5,6
1971,168877,6,5,6
1972,168877,6,5,6
1973,168877,6,5,6
1974,168877,6,5,6
1975,168877,6,5,6
1976,168877,6,5,6
1977,168877,6,5,6
1978,168877,6,5,6
1979,168877,6,5,6
1980,168877,6,5,6
1981,168877,6,5,6
1982,168877,6,5,6
1983,168877,6,5,6
1984,168877,6,5,6
1985,168877,6,5,6
1986,168877,6,5,6
1987,168877,6,5,6
1988,168877,6,5,6
1989,168877,6,5,6
1990,168877,6,5,6
1991,168877,6,5,6
1992,168877,6,5,6
1993,168877,6,5,6
1994,168877,6,5,6
1995,168877,6,5,6
1996,168877,6,5,6
1997,168877,6,5,6
1998,168877,6,5,6
1999,168877,6,5,6
2000,168877,6,5,6
2001,168877,6,5,6
2002,168877,6,5,6
2003,168877,6,5,6
2004,168877,6,5,6
2005,168877,6,5,5
2006,168877,6,5,6
2007,168877,6,5,6
2008,168877,6,5,6
2009,168877,6,5,6
2010,168877,6,5,6
2011,168877,6,5,6
2012,168877,6,5,6
2013,168877,6,5,6
2014,168877,6,5,6
2015,168877,6,5,6
2016,168877,6,5,6
2017,168877,6,5,6
2018,168877,6,5,6
2019,168877,6,5,6
2020,168877,6,5,6
2021,168877,6,5,6
2022,168877,6,5,6
2023,168877,6,6,6
2024,168877,6,6,6
2025,168877,6,5,6
2026,168877,6,5,6
2027,168877,6,5,6
2028,168877,6,5,6
2029,168877,6,5,6
2030,168877,6,5,6
2031,168877,6,5,6
2032,168877,6,5,6
2033,168877,6,5,6
2034,168877,6,5,6
2035,168877,6,5,6
2036,168877,6,5,6
2037,168877,6,5,6
2038,168877,6,5,6
2039,168877,6,5,6
2040,168877,6,5,6
2041,168877,6,5,6
2042,168877,6,5,6
2043,168877,6,5,6
2044,168877,6,5,6
2045,168877,6,5,6
2046,168877,6,5,6
2047,168877,6,5,6
2048,168877,6,5,6
2049,168877,6,5,6
2050,168877,6,5,6
2051,168877,6,5,6
2052,168877,6,5,6
2053,168877,6,5,6
2054,168877,6,5,6
2055,168877,6,5,6
2056,168877,6,5,6
2057,168877,6,5,6
2058,168877,6,5,6
2059,168877,6,5,6
