order,B_time,B_split,B_util,BPlus_time,BPlus_split,BPlus_util,BStar_time,BStar_split,BStar_util
1729,35,65,0.863237,34,65,0.863798,45,64,0.863237
1730,30,64,0.87581,31,65,0.863299,44,62,0.889284
1731,31,65,0.86224,30,65,0.8628,45,62,0.88877
1732,31,65,0.861742,31,65,0.862302,46,61,0.902136
1733,31,65,0.861245,31,65,0.861805,46,62,0.887745
1734,31,64,0.87379,30,64,0.874349,45,64,0.860748
1735,30,65,0.860252,31,65,0.860811,52,63,0.873286
1736,32,64,0.872783,30,65,0.860315,45,62,0.886211
1737,31,65,0.859262,31,65,0.85982,43,62,0.8857
1738,32,65,0.858767,31,65,0.859325,45,62,0.885191
